Data set,"Top 500 authors, by Scholarly Output"
Entity,"Australia"
Year range,2012 to 2021
Subject classification,"FOR"
Filtered by,"Built Environment And Design"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,22 June 2022
Date exported,4 July 2022

Name,Scholarly Output,Most recent publication,Citations,Citations per Publication,Field-Weighted Citation Impact,h-index,Scopus author ID,Scopus author profile
"Valipour, Hamid Reza",25,2021,490,19.6,1.04,27.0,6508258428,https://www.scopus.com/authid/detail.url?authorId=6508258428
"Oehlers, Deric John",25,2021,352,14.1,1.19,41.0,7005980230,https://www.scopus.com/authid/detail.url?authorId=7005980230
"Searle, Glen H.",25,2021,324,13.0,1.51,19.0,7006993406,https://www.scopus.com/authid/detail.url?authorId=7006993406
"Livesley, Stephen John",25,2021,1215,48.6,2.63,38.0,8358544400,https://www.scopus.com/authid/detail.url?authorId=8358544400
"Randolph, Bill",24,2020,388,16.2,1.49,19.0,24169444100,https://www.scopus.com/authid/detail.url?authorId=24169444100
"Taylor, Elizabeth Jean",24,2021,285,11.9,0.98,12.0,25224810400,https://www.scopus.com/authid/detail.url?authorId=25224810400
"Wang, Mark",24,2021,447,18.6,1.78,24.0,37022315900,https://www.scopus.com/authid/detail.url?authorId=37022315900
"Mohajerani, Abbas",24,2021,535,22.3,1.30,24.0,55541981700,https://www.scopus.com/authid/detail.url?authorId=55541981700
"Yang, Xu",24,2021,486,20.3,2.30,28.0,55595904300,https://www.scopus.com/authid/detail.url?authorId=55595904300
"Newman, Peter William G.",24,2021,531,22.1,1.55,28.0,57203560824,https://www.scopus.com/authid/detail.url?authorId=57203560824
"Gunasekara, Chamila",24,2021,628,26.2,2.05,15.0,57215381433,https://www.scopus.com/authid/detail.url?authorId=57215381433
"Morrison-Saunders, Angus N. N.",24,2021,797,33.2,2.55,34.0,6602449775,https://www.scopus.com/authid/detail.url?authorId=6602449775
"Davis, Peter Rex",24,2021,370,15.4,1.89,22.0,7403510499,https://www.scopus.com/authid/detail.url?authorId=7403510499
"March, Alan P.",23,2020,236,10.3,0.72,13.0,23098519000,https://www.scopus.com/authid/detail.url?authorId=23098519000
"Horne, Ralph E.",23,2021,346,15.0,1.25,20.0,23985169500,https://www.scopus.com/authid/detail.url?authorId=23985169500
"Easthope, Hazel",23,2021,268,11.7,1.20,13.0,25224820500,https://www.scopus.com/authid/detail.url?authorId=25224820500
"Steele, Wendy Elizabeth",23,2021,363,15.8,1.85,13.0,36992575200,https://www.scopus.com/authid/detail.url?authorId=36992575200
"Kazmi, Syed Minhaj Saleem",23,2021,649,28.2,3.14,23.0,55990396300,https://www.scopus.com/authid/detail.url?authorId=55990396300
"Rajagopalan, Priyadarsini",23,2021,271,11.8,0.96,17.0,57204151280,https://www.scopus.com/authid/detail.url?authorId=57204151280
"Ali, M. S.Mohamed",23,2021,850,37.0,2.20,26.0,6507866175,https://www.scopus.com/authid/detail.url?authorId=6507866175
"Handmer, John W.",23,2021,370,16.1,1.48,32.0,7003462665,https://www.scopus.com/authid/detail.url?authorId=7003462665
"Li, Chunqing Quing",23,2019,460,20.0,1.31,33.0,8042007200,https://www.scopus.com/authid/detail.url?authorId=8042007200
"Stone, Wendy",22,2021,129,5.9,1.36,8.0,14067850100,https://www.scopus.com/authid/detail.url?authorId=14067850100
"Candido, C.",22,2021,1291,58.7,3.61,20.0,26667557100,https://www.scopus.com/authid/detail.url?authorId=26667557100
"Thambiratnam, David P.",22,2021,177,8.0,1.06,37.0,35583914600,https://www.scopus.com/authid/detail.url?authorId=35583914600
